,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,external_id
0,10119802777,Morning Ride,2023-10-28T08:03:56Z,Ride,21828.0,8172,16371,562.4,"[-22.159379152581096, -43.29031018540263]","[-22.159385858103633, -43.29072014428675]",garmin_ping_301874679075
1,10089183560,Morning Ride,2023-10-21T08:45:01Z,Ride,24342.8,6423,15739,331.8,"[-22.160257576033473, -43.2915501203388]","[-22.159323329105973, -43.29038972966373]",garmin_ping_300982622245
2,10025746502,Morning Ride,2023-10-12T07:54:38Z,Ride,19236.5,8046,15944,501.2,"[-22.162604006007314, -43.288278076797724]","[-22.159261386841536, -43.2905019633472]",garmin_ping_299202202209
3,9994855948,Morning Ride,2023-10-07T08:29:41Z,Ride,18022.4,6859,16770,414.3,"[-22.162726130336523, -43.286796575412154]","[-22.15915753506124, -43.290475560352206]",garmin_ping_298373731611
4,9952025501,Morning Ride,2023-09-30T08:29:07Z,Ride,23986.8,8121,16585,626.8,"[-22.159460205584764, -43.29016903415322]","[-22.15934411622584, -43.290560971945524]",garmin_ping_297240668607
5,9905358756,Morning Ride,2023-09-23T08:21:31Z,Ride,35915.2,10320,12702,536.9,"[-22.156518744304776, -43.28467628918588]","[-22.15936666354537, -43.290423676371574]",garmin_ping_296035390731
6,9861608348,Morning Ride,2023-09-16T08:42:46Z,Ride,20579.4,6829,15844,532.3,"[-22.168897977098823, -43.29316405579448]","[-22.15939013287425, -43.29040649347007]",garmin_ping_294895347159
7,9769408312,Morning Ride,2023-09-02T08:41:24Z,Ride,27246.6,7911,14510,570.1,"[-22.160483803600073, -43.2907850202173]","[-22.159293573349714, -43.290459802374244]",garmin_ping_292586618287
8,9672038569,Morning Ride,2023-08-18T08:00:25Z,Ride,19467.7,4089,4434,163.4,"[-22.159273205325007, -43.29030213877559]","[-22.159297177568078, -43.29042049124837]",garmin_ping_290142807393
9,9659059304,Morning Ride,2023-08-16T07:57:31Z,Ride,19369.6,4122,4220,216.0,"[-22.162012243643403, -43.291962929069996]","[-22.159390971064568, -43.29045577906072]",garmin_ping_289827433515
10,9647983185,Morning Ride,2023-08-12T09:41:26Z,Ride,25468.3,5487,6056,317.0,"[-22.1593408472836, -43.290209267288446]","[-22.158997105434537, -43.29081485979259]",garmin_ping_289556458905
11,9133655693,Morning Ride,2023-05-21T09:29:53Z,Ride,18394.9,5827,13353,561.0,"[-22.160143749788404, -43.29016559757292]","[-22.159484177827835, -43.29059089533985]",garmin_ping_275952898081
12,9133656059,Morning Ride,2023-05-20T08:53:10Z,Ride,21962.0,5366,15306,563.0,"[-22.159787267446518, -43.29000474885106]","[-22.159429108723998, -43.29047388397157]",garmin_ping_275952904392
13,9084241098,Morning Ride,2023-05-13T08:47:03Z,Ride,32064.5,8182,12642,564.0,"[-22.159305391833186, -43.290375815704465]","[-22.159339673817158, -43.29040355980396]",garmin_ping_274572001431
14,9033875408,Morning Ride,2023-05-07T08:15:08Z,Ride,17992.0,6091,14763,514.0,"[-22.164009315893054, -43.28535748645663]","[-22.159434976056218, -43.29066985286772]",garmin_ping_273189793961
15,9021857287,Morning Ride,2023-05-06T08:46:03Z,Ride,21980.2,7044,12218,547.8,"[-22.159436317160726, -43.29037816263735]","[-22.159356186166406, -43.29044396057725]",garmin_ping_272860598833
16,9010202266,Morning Ride,2023-05-01T08:54:00Z,Ride,17715.4,6043,14614,502.0,"[-22.1623560693115, -43.27912403270602]","[-22.159391222521663, -43.29038000665605]",garmin_ping_272542673553
17,9010202238,Morning Ride,2023-04-29T08:45:48Z,Ride,21550.7,5589,14935,456.0,"[-22.159785255789757, -43.28994758427143]","[-22.159433299675584, -43.29047623090446]",garmin_ping_272542672516
18,8943735498,Morning Ride,2023-04-23T08:53:45Z,Ride,23266.6,6993,11998,484.1,"[-22.1593910548836, -43.290398363023996]","[-22.159452745690942, -43.29032368026674]",garmin_ping_270697922014
19,8962900130,Morning Ride,2023-04-21T08:25:13Z,Ride,27227.7,5453,5534,381.0,"[-22.15887062251568, -43.29041663557291]","[-22.15936180204153, -43.29036684706807]",garmin_ping_271238522317
20,8848238472,Morning Ride,2023-04-07T08:14:08Z,Ride,33089.2,7951,11268,338.2,"[-22.159701604396105, -43.28983216546476]","[-22.15939641930163, -43.290408505126834]",garmin_ping_268086362733
21,8844744075,Afternoon Ride,2023-04-06T16:53:18Z,Ride,24711.6,4270,8041,118.4,"[-22.161148991435766, -43.28613616526127]","[-22.160295378416777, -43.28513201326132]",garmin_ping_267981812100
22,8792490288,Morning Ride,2023-03-25T08:45:58Z,Ride,25744.6,4930,5933,303.0,"[-22.158463848754764, -43.290713019669056]","[-22.159612672403455, -43.29060036689043]",garmin_ping_266505898350
23,8742227812,Morning Ride,2023-03-19T10:31:24Z,Ride,26141.3,6497,7353,348.3,"[-22.16501514427364, -43.290979815647006]","[-22.159393317997456, -43.29037078656256]",garmin_ping_265095388919
24,8620244525,Morning Ride,2023-02-25T08:18:00Z,Ride,35599.1,9562,12708,385.2,"[-22.15937353670597, -43.290292667225]","[-22.15935107320547, -43.29063691198826]",garmin_ping_261726199026
25,8649949371,Morning Ride,2023-02-20T08:24:49Z,Ride,30619.0,6590,7812,381.0,"[-22.159459283575416, -43.29032418318093]","[-22.159270690754056, -43.29036785289645]",garmin_ping_262546210789
26,8649949404,Morning Ride,2023-02-18T08:55:29Z,Ride,33971.4,8525,14328,644.0,"[-22.162301167845726, -43.28772570937872]","[-22.159103890880942, -43.29045192338526]",garmin_ping_262546209704
27,8555970845,Morning Ride,2023-02-11T08:31:45Z,Ride,37609.7,10895,15832,629.0,"[-22.159280832856894, -43.290290320292115]","[-22.159470431506634, -43.29068938270211]",garmin_ping_259932259054
28,8465752341,Morning Ride,2023-01-28T08:23:08Z,Ride,36273.8,10205,11004,577.5,"[-22.158620757982135, -43.28837463632226]","[-22.159277899190784, -43.290409008041024]",garmin_ping_257451079423
29,8440773849,Morning Ride,2023-01-22T08:41:38Z,Ride,24872.6,5718,6862,313.0,"[-22.159315450116992, -43.29021630808711]","[-22.15938962996006, -43.290327871218324]",garmin_ping_256752812182
30,8440773853,Morning Ride,2023-01-14T08:30:14Z,Ride,21512.6,6246,7603,407.0,"[-22.159478729590774, -43.29047639854252]","[-22.10256703197956, -43.255314817652106]",garmin_ping_256752811298
31,8297680516,Morning Ride,2022-12-27T08:30:14Z,Ride,35895.4,7480,8290,364.9,"[-22.15923272073269, -43.29035695642233]","[-22.159334644675255, -43.290371960029006]",garmin_ping_252687299187
32,8207877977,PDZ Bike Park Santa Helena,2022-12-04T08:55:47Z,Ride,14717.2,7112,11093,559.3,"[-22.016961062327027, -43.30507004633546]","[-22.018325719982386, -43.306163465604186]",garmin_ping_249724602960
33,8202229134,Morning Ride,2022-12-03T08:31:49Z,Ride,38543.8,9616,13061,538.9,"[-22.161253849044442, -43.291132198646665]","[-22.16018029488623, -43.290949473157525]",garmin_ping_249568524625
34,8440773741,Morning Ride,2022-11-30T07:56:44Z,Ride,26647.3,4349,9475,148.0,"[-22.159368842840195, -43.29035209491849]","[-22.1594341378659, -43.289863178506494]",garmin_ping_256752810596
35,8171562618,PDZ pelos Alpes,2022-11-26T08:43:33Z,Ride,38526.4,9650,14570,654.2,"[-22.159398263320327, -43.290317729115486]","[-22.159303715452552, -43.290405571460724]",garmin_ping_248651167193
36,8440773883,Morning Ride,2022-11-19T08:47:13Z,Ride,45373.1,9960,13511,525.0,"[-22.1592805813998, -43.290466172620654]","[-22.159496750682592, -43.29041940160096]",garmin_ping_256752810179
37,8126377461,Morning Ride,2022-11-15T08:34:32Z,Ride,37423.5,9628,14021,587.0,"[-22.15932458639145, -43.290383694693446]","[-22.159450482577085, -43.29065744765103]",garmin_ping_247352980912
38,8126377444,Morning Ride,2022-11-13T08:59:24Z,Ride,32578.1,8035,9338,619.0,"[-22.159415781497955, -43.290356788784266]","[-22.15935777872801, -43.29039710573852]",garmin_ping_247352980047
39,8107463602,PDZ All Mountain roots.....,2022-11-12T08:27:44Z,Ride,33922.9,9989,16492,599.2,"[-22.15939985588193, -43.29036575742066]","[-22.159374123439193, -43.29038721509278]",garmin_ping_246833326579
40,8057429469,Morning Ride,2022-11-02T08:42:16Z,Ride,25486.4,4605,4684,262.8,"[-22.15937152504921, -43.29034622758627]","[-22.159336069598794, -43.29035955481231]",garmin_ping_245496641373
41,8047984270,Morning Ride,2022-10-29T08:38:37Z,Ride,32909.1,7706,11575,424.0,"[-22.159423660486937, -43.290154030546546]","[-22.15936071239412, -43.290429040789604]",garmin_ping_245232116635
42,8011844430,Morning Ride,2022-10-23T08:52:13Z,Ride,28945.4,9130,14428,517.0,"[-22.15939650312066, -43.29018755815923]","[-22.159363143146038, -43.29043599776924]",garmin_ping_244263254844
43,8011844366,Morning Ride,2022-10-22T08:40:51Z,Ride,35991.6,7967,12037,492.0,"[-22.159391976892948, -43.29031563363969]","[-22.159450901672244, -43.290270287543535]",garmin_ping_244263253318
44,7978419056,Morning Ride,2022-10-15T08:29:20Z,Ride,37505.8,8664,11701,622.0,"[-22.159451823681593, -43.290387047454715]","[-22.159385103732347, -43.29038453288376]",garmin_ping_243379175542
45,7952212253,Morning Ride,2022-10-12T08:17:46Z,Ride,38620.4,9683,12820,610.4,"[-22.159334057942033, -43.290391489863396]","[-22.162335449829698, -43.28816290944815]",garmin_ping_242708559325
46,7978418887,Morning Ride,2022-10-08T08:59:56Z,Ride,28027.2,7150,602938,597.0,"[-22.15944486670196, -43.2904396019876]","[-22.159413937479258, -43.29040624201298]",garmin_ping_243379173594
47,7895319670,Morning Ride,2022-10-01T08:43:13Z,Ride,41152.6,11485,15346,651.7,"[-22.159409914165735, -43.29043130390346]","[-22.159571014344692, -43.290449073538184]",garmin_ping_241248273807
48,7859824064,Morning Workout,2022-09-24T10:09:37Z,Workout,6006.0,4946,5475,55.2,"[-22.306511979550123, -43.55305862613022]","[-22.306967871263623, -43.553393399342895]",garmin_ping_240326626417
49,7834144927,Morning Ride,2022-09-18T09:35:04Z,Ride,11937.6,3407,7035,387.4,"[-22.159376135095954, -43.2904361654073]","[-22.148322835564613, -43.231708109378815]",garmin_ping_239685603113
50,7779675840,Morning Ride,2022-09-07T08:35:34Z,Ride,37064.8,9555,14468,801.0,"[-22.159367250278592, -43.290059650316834]","[-22.159421145915985, -43.29040062613785]",garmin_ping_238337902977
51,7779675804,Morning Ride,2022-09-04T09:30:43Z,Ride,23642.7,5554,6974,617.0,"[-22.160025481134653, -43.29041613265872]","[-22.159298351034522, -43.29053884372115]",garmin_ping_238337901724
52,7727635100,Morning Ride,2022-08-27T09:05:18Z,Ride,19613.9,5758,10398,616.0,"[-22.16358846053481, -43.28502313233912]","[-22.15975080616772, -43.29064629971981]",garmin_ping_237059406858
53,7641734046,Morning Ride,2022-08-13T09:07:10Z,Ride,47779.9,12601,17319,1003.0,"[-22.159318551421165, -43.290342874825]","[-22.159677045419812, -43.2904205750674]",garmin_push_9408082469
54,7603015954,Morning Ride,2022-08-06T08:15:54Z,Ride,33522.3,8229,13087,630.0,"[-22.15948635712266, -43.29026232473552]","[-22.159354342147708, -43.29046508297324]",garmin_push_9361767202
55,7564872232,Morning Ride,2022-07-30T10:44:50Z,Ride,22479.7,5130,6729,535.0,"[-22.160497717559338, -43.2907625567168]","[-22.159337159246206, -43.29040448181331]",garmin_push_9316861589
56,7517285708,Afternoon Workout,2022-07-23T16:12:36Z,Workout,2728.1,2344,3806,152.1,"[-22.165210526436567, -43.282888010144234]","[-22.164990920573473, -43.28397857956588]",garmin_push_9260822747
